GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1043810399	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	6	795	-1	851	0	40	3653	-9.45945945945947		
1043811941	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	7	890	-1	-1	0	20	3653	-9.45945945945947		
1043811176	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	8	1077	1115	1123	0	10	3653	-9.45945945945947		
1043810375	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	13	1925	-1	1907	0	40	3653	-9.45945945945947		
1043399293	20220509133000	20220509133000	1	news24.com	https://www.news24.com/news24/SouthAfrica/News/bloody-scenes-in-cape-town-as-10-people-killed-in-3-incidents-20220509	4	379	-1	418	0	20	3055	-8.08678500986194		
1043810394	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	9	1348	1262	1310	0	60	3653	-9.45945945945947		
1043971438	20220512123000	20220512124500	1	news24.com	https://www.news24.com/news24/southafrica/news/cabinet-approves-appointment-of-kwazulu-natal-mec-in-national-cogta-dept-20220512	11	3203	3281	3216	0	10	4881	-4.53333333333334		
870815901	20190906020000	20190906131500	1	news24.com	https://www.news24.com/SouthAfrica/News/cape-town-woman-abducted-and-murdered-boyfriend-shot-20190906	1	0	-1	29	1	40	1421	-9.79591836734694		
1038568719	20220409143000	20220409143000	1	news24.com	https://www.news24.com/news24/SouthAfrica/News/2-dead-3-injured-in-yet-another-mass-shooting-in-khayelitsha-20220409	6	668	685	772	0	30	2447	-11.4143920595533		
1038568718	20220409143000	20220409143000	1	news24.com	https://www.news24.com/news24/SouthAfrica/News/2-dead-3-injured-in-yet-another-mass-shooting-in-khayelitsha-20220409	6	668	685	772	0	10	2447	-11.4143920595533		
1032760582	20220309090000	20220309154500	1	news24.com	https://www.news24.com/news24/SouthAfrica/News/khayelitsha-police-are-failing-the-queer-community-say-activists-20220309	10	2482	2604	2592	1	100	3108	-4.30528375733855		
1043872781	20220512000000	20220512173000	1	news24.com	https://www.news24.com/news24/southafrica/news/new-delay-in-lesbian-murder-case-as-khayelitsha-court-runs-out-of-paper-20220512	11	2188	-1	2227	0	20	3440	-4.96688741721855		
1043973660	20220512124500	20220512124500	1	news24.com	https://www.news24.com/news24/southafrica/news/cabinet-approves-appointment-of-kwazulu-natal-mec-in-national-cogta-dept-20220512	18	4553	4661	4649	0	10	4881	-4.53333333333334		
1041276965	20220426131500	20220426131500	1	news24.com	https://www.news24.com/news24/SouthAfrica/News/fifty-families-share-two-toilets-in-taiwan-khayelitsha-20220426	1	500	-1	565	1	20	2328	-2.46305418719212		
1043972961	20220512124500	20220512124500	1	news24.com	https://www.news24.com/news24/southafrica/news/cabinet-approves-appointment-of-kwazulu-natal-mec-in-national-cogta-dept-20220512	3	596	673	638	0	20	4881	-4.53333333333334		
1043811177	20220511163000	20220511163000	1	news24.com	https://www.news24.com/news24/southafrica/news/cape-town-mass-killings-2-more-in-court-20220511	8	1077	1099	1107	0	10	3653	-9.45945945945947		
1074626371	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	17	2670	-1	-1	0	10	5938	-9.40499040307102		
1074627096	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	11	1520	1544	-1	0	10	5938	-9.40499040307102		
1074627097	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	11	1520	1544	-1	0	10	5938	-9.40499040307102		
1074626368	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	6	679	-1	706	0	20	5938	-9.40499040307102		
1074626374	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	24	3682	3658	3743	0	20	5938	-9.40499040307102		
1074626459	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	13	1842	1783	1790	0	20	5938	-9.40499040307102		
1074626460	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	13	1825	1766	1773	0	20	5938	-9.40499040307102		
1074626279	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	31	-1	4665	4727	0	30	5938	-9.40499040307102		
1074626453	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	29	4412	-1	4419	0	40	5938	-9.40499040307102		
1074626456	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	29	4412	-1	4459	0	40	5938	-9.40499040307102		
1074626278	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	24	-1	3664	3725	0	50	5938	-9.40499040307102		
1074626370	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	17	2648	-1	2655	0	50	5938	-9.40499040307102		
1074626367	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	6	-1	-1	-1	0	60	5938	-9.40499040307102		
1074627094	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	11	1520	-1	1559	1	20	5938	-9.40499040307102		
1074626483	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	1	44	-1	62	1	50	5938	-9.40499040307102		
1074626311	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	24	-1	3658	3727	1	60	5938	-9.40499040307102		
1074626452	20221203063000	20221203063000	1	news24.com	https://www.news24.com/news24/southafrica/news/the-dog-is-dead-court-readies-for-alleged-extortionists-mega-murder-trial-20221203	29	4412	-1	4419	1	60	5938	-9.40499040307102		
